gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,fyr,costat
1447,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1447,31/12/2015,2015,FS,C,D,STD,USD,12,A
1448,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1448,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1448,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1448,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1448,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1448,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1448,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1448,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1448,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1448,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1449,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1449,31/12/2006,2006,FS,C,D,STD,USD,12,A
1449,31/12/2007,2007,FS,C,D,STD,USD,12,A
1449,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1449,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1449,31/12/2008,2008,FS,C,D,STD,USD,12,A
1449,31/12/2009,2009,FS,C,D,STD,USD,12,A
1449,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1449,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1449,31/12/2010,2010,FS,C,D,STD,USD,12,A
1449,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1449,31/12/2011,2011,FS,C,D,STD,USD,12,A
1449,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1449,31/12/2012,2012,FS,C,D,STD,USD,12,A
1449,31/12/2013,2013,FS,C,D,STD,USD,12,A
1449,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1449,31/12/2014,2014,FS,C,D,STD,USD,12,A
1449,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1449,31/12/2015,2015,FS,C,D,STD,USD,12,A
1449,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1468,28/02/2007,2006,INDL,C,D,STD,USD,2,I
1468,29/02/2008,2007,INDL,C,D,STD,USD,2,I
1468,28/02/2009,2008,INDL,C,D,STD,USD,2,I
1468,28/02/2010,2009,INDL,C,D,STD,USD,2,I
1468,28/02/2011,2010,INDL,C,D,STD,USD,2,I
1468,29/02/2012,2011,INDL,C,D,STD,USD,2,I
1468,28/02/2013,2012,INDL,C,D,STD,USD,2,I
1478,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1478,31/12/2007,2007,INDL,C,D,STD,USD,12,I
1478,31/12/2008,2008,INDL,C,D,STD,USD,12,I
1487,31/12/2006,2006,FS,C,D,STD,USD,12,A
1487,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1487,31/12/2007,2007,FS,C,D,STD,USD,12,A
1487,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1487,31/12/2008,2008,FS,C,D,STD,USD,12,A
1487,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1487,31/12/2009,2009,FS,C,D,STD,USD,12,A
1487,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1487,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1487,31/12/2010,2010,FS,C,D,STD,USD,12,A
1487,31/12/2011,2011,FS,C,D,STD,USD,12,A
1487,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1487,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1487,31/12/2012,2012,FS,C,D,STD,USD,12,A
1487,31/12/2013,2013,FS,C,D,STD,USD,12,A
1487,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1487,31/12/2014,2014,FS,C,D,STD,USD,12,A
1487,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1487,31/12/2015,2015,FS,C,D,STD,USD,12,A
1487,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1526,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1526,31/12/2006,2006,FS,C,D,STD,USD,12,A
1526,31/12/2007,2007,FS,C,D,STD,USD,12,A
1526,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1526,31/12/2008,2008,FS,C,D,STD,USD,12,A
1526,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1526,31/12/2009,2009,FS,C,D,STD,USD,12,A
1526,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1526,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1526,31/12/2010,2010,FS,C,D,STD,USD,12,A
1526,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1526,31/12/2011,2011,FS,C,D,STD,USD,12,A
1526,31/12/2012,2012,FS,C,D,STD,USD,12,A
1526,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1526,31/12/2013,2013,FS,C,D,STD,USD,12,A
1526,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1526,31/12/2014,2014,FS,C,D,STD,USD,12,A
1526,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1526,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1526,31/12/2015,2015,FS,C,D,STD,USD,12,A
1533,30/09/2006,2006,INDL,C,D,STD,USD,9,I
1533,30/09/2007,2007,INDL,C,D,STD,USD,9,I
1533,30/09/2008,2008,INDL,C,D,STD,USD,9,I
1533,30/09/2009,2009,INDL,C,D,STD,USD,9,I
1533,30/09/2010,2010,INDL,C,D,STD,USD,9,I
1533,30/09/2011,2011,INDL,C,D,STD,USD,9,I
1533,30/09/2012,2012,INDL,C,D,STD,USD,9,I
1533,30/09/2013,2013,INDL,C,D,STD,USD,9,I
1598,31/12/2006,2006,INDL,C,D,STD,USD,12,A
