,gvkey,debt_at,debt_ebitda,debt_assets,cash_debt,year
73791,14256,0.0,0.0,0.154,1.2109999999999999,2006
73800,14256,0.0,0.0,0.132,1.298,2007
73801,14256,0.0,0.0,0.151,0.927,2008
73813,14256,0.0,0.0,0.156,0.915,2009
73825,14256,0.047,0.198,0.25,0.435,2010
73837,14256,0.087,0.33899999999999997,0.28800000000000003,0.847,2011
73849,14256,0.084,0.397,0.309,0.631,2012
73861,14256,0.135,0.664,0.36,0.573,2013
73873,14256,0.231,1.339,0.44799999999999995,0.39299999999999996,2014
73885,14256,0.243,1.358,0.45899999999999996,0.358,2015
73897,14275,0.149,7.897,0.924,0.035,2006
73905,14275,0.14300000000000002,8.007,0.924,0.036000000000000004,2007
73916,14275,0.052000000000000005,1.6540000000000001,0.902,0.01,2011
73928,14275,0.099,3.608,0.904,0.003,2012
73940,14275,0.11900000000000001,4.71,0.9009999999999999,0.013999999999999999,2013
73952,14275,0.126,5.681,0.9,0.015,2014
73964,14275,0.102,5.084,0.9009999999999999,0.011000000000000001,2015
73976,14282,0.36200000000000004,1.518,0.615,0.185,2006
73988,14282,0.299,1.15,0.56,0.22399999999999998,2007
74000,14282,0.278,1.079,0.532,0.278,2008
74012,14282,0.271,1.391,0.507,0.29600000000000004,2009
74024,14282,0.22899999999999998,1.081,0.45,0.4,2010
74036,14282,0.247,1.175,0.45399999999999996,0.254,2011
74048,14282,0.314,1.639,0.515,0.25,2012
74060,14282,0.32799999999999996,1.735,0.524,0.243,2013
74072,14282,0.36200000000000004,2.013,0.5429999999999999,0.23399999999999999,2014
74084,14282,0.384,2.144,0.5760000000000001,0.215,2015
74096,14304,0.034,2.207,0.13699999999999998,-0.009000000000000001,2006
74108,14304,0.006,-0.027000000000000003,0.147,0.213,2007
74120,14304,0.134,-2.349,0.285,-1.1159999999999999,2008
74132,14304,0.127,-1.087,0.37799999999999995,-0.26,2009
74144,14304,0.09,0.516,0.31,-0.034,2010
74156,14304,0.259,1.594,0.389,0.504,2011
74168,14304,0.316,1.2830000000000001,0.475,0.154,2012
74180,14304,0.27399999999999997,1.095,0.43200000000000005,0.156,2013
74192,14304,0.524,4.357,0.7140000000000001,0.33399999999999996,2014
74204,14304,0.55,2.779,0.757,0.02,2015
74216,14324,0.002,0.011000000000000001,0.315,0.731,2006
74228,14324,0.001,0.01,0.297,0.701,2007
74240,14324,0.132,0.589,0.58,0.3,2008
74252,14324,0.253,1.651,0.562,0.41600000000000004,2009
74264,14324,0.179,0.674,0.475,0.309,2010
74276,14324,0.12300000000000001,0.508,0.34600000000000003,0.597,2011
74288,14324,0.11199999999999999,0.785,0.29600000000000004,0.745,2012
74300,14324,0.10300000000000001,0.938,0.28600000000000003,0.44299999999999995,2013
74312,14324,0.254,2.531,0.41700000000000004,0.23600000000000002,2014
74323,14324,0.258,3.14,0.426,0.27899999999999997,2015
74335,14359,0.19899999999999998,1.742,0.612,0.253,2006
74347,14359,0.281,2.6719999999999997,0.618,0.17300000000000001,2007
74359,14359,0.31,2.251,0.639,0.139,2008
74371,14359,0.332,4.29,0.599,0.18600000000000003,2009
