,gvkey,fiscal_year,fiscal_month
905,2393,2013.0,6.0
906,2393,2014.0,6.0
907,2393,2015.0,6.0
908,2403,2006.0,12.0
909,2403,2007.0,12.0
910,2403,2008.0,12.0
911,2403,2009.0,12.0
912,2403,2010.0,12.0
913,2403,2011.0,12.0
914,2403,2012.0,12.0
915,2403,2013.0,12.0
916,2403,2014.0,12.0
917,2403,2015.0,12.0
918,2435,2006.0,4.0
919,2435,2007.0,4.0
920,2435,2008.0,4.0
921,2435,2009.0,4.0
922,2435,2010.0,4.0
923,2435,2011.0,4.0
924,2435,2012.0,4.0
925,2435,2013.0,4.0
926,2435,2014.0,4.0
927,2435,2015.0,4.0
928,2436,2006.0,1.0
929,2436,2007.0,1.0
930,2436,2008.0,1.0
931,2436,2009.0,1.0
932,2436,2010.0,1.0
933,2436,2011.0,1.0
934,2436,2012.0,1.0
935,2436,2013.0,1.0
936,2436,2014.0,1.0
937,2436,2015.0,1.0
938,2444,2006.0,12.0
939,2444,2007.0,12.0
940,2444,2008.0,12.0
941,2444,2009.0,12.0
942,2444,2010.0,12.0
943,2444,2011.0,12.0
944,2444,2012.0,12.0
945,2444,2013.0,12.0
946,2444,2014.0,12.0
947,2444,2015.0,12.0
948,2484,2006.0,5.0
949,2484,2007.0,5.0
950,2484,2008.0,5.0
951,2484,2009.0,1.0
952,2484,2010.0,1.0
953,2484,2011.0,1.0
954,2484,2012.0,1.0
955,2484,2013.0,1.0
956,2490,2006.0,12.0
957,2490,2007.0,12.0
958,2490,2008.0,12.0
959,2490,2009.0,12.0
960,2490,2010.0,12.0
961,2490,2011.0,12.0
962,2490,2012.0,12.0
963,2490,2013.0,12.0
964,2490,2014.0,12.0
965,2490,2015.0,12.0
966,2497,2006.0,12.0
967,2497,2007.0,12.0
968,2497,2008.0,12.0
969,2497,2009.0,12.0
970,2497,2010.0,12.0
971,2497,2011.0,12.0
972,2497,2012.0,12.0
973,2497,2013.0,12.0
974,2497,2014.0,12.0
975,2497,2015.0,12.0
976,2504,2006.0,12.0
977,2504,2007.0,12.0
978,2504,2008.0,12.0
979,2504,2009.0,12.0
980,2504,2010.0,12.0
981,2504,2011.0,12.0
982,2504,2012.0,12.0
983,2504,2013.0,12.0
984,2504,2014.0,12.0
985,2504,2015.0,12.0
986,2536,2006.0,3.0
987,2536,2007.0,3.0
988,2536,2008.0,3.0
989,2536,2009.0,3.0
990,2536,2010.0,3.0
991,2536,2011.0,3.0
992,2536,2012.0,3.0
993,2536,2013.0,3.0
994,2536,2014.0,3.0
995,2536,2015.0,3.0
997,2547,2006.0,12.0
999,2547,2007.0,12.0
1001,2547,2008.0,12.0
1003,2547,2009.0,12.0
1005,2547,2010.0,12.0
1007,2547,2011.0,12.0
1009,2547,2012.0,12.0
1011,2547,2013.0,12.0
1013,2547,2014.0,12.0
1015,2547,2015.0,12.0
1017,2558,2006.0,12.0
1019,2558,2007.0,12.0
1021,2558,2008.0,12.0
1023,2558,2009.0,12.0
1025,2558,2010.0,12.0
1027,2558,2011.0,12.0
1029,2558,2012.0,12.0
1031,2558,2013.0,12.0
1033,2558,2014.0,12.0
1035,2558,2015.0,12.0
1036,2574,2006.0,12.0
1037,2574,2007.0,12.0
1038,2574,2008.0,12.0
1039,2574,2009.0,12.0
1040,2574,2010.0,12.0
1041,2574,2011.0,12.0
1042,2574,2012.0,12.0
1043,2574,2013.0,12.0
1044,2574,2014.0,12.0
1045,2574,2015.0,12.0
1046,2589,2006.0,12.0
1047,2589,2007.0,12.0
1048,2589,2008.0,12.0
1049,2589,2009.0,12.0
1050,2593,2006.0,9.0
1051,2593,2007.0,9.0
1052,2593,2008.0,9.0
1053,2593,2009.0,9.0
1054,2593,2010.0,9.0
1055,2593,2011.0,9.0
1056,2593,2012.0,9.0
1057,2593,2013.0,9.0
1058,2593,2014.0,9.0
1059,2593,2015.0,9.0
1060,2596,2006.0,6.0
1061,2596,2007.0,6.0
1062,2596,2008.0,6.0
1063,2596,2009.0,6.0
1064,2596,2010.0,6.0
1065,2596,2011.0,6.0
1066,2596,2012.0,6.0
1067,2596,2013.0,6.0
1068,2596,2014.0,6.0
1069,2596,2015.0,6.0
1070,2602,2006.0,6.0
1072,2620,2006.0,12.0
1074,2620,2007.0,12.0
1076,2620,2008.0,12.0
1078,2620,2009.0,12.0
1080,2620,2010.0,12.0
1082,2620,2011.0,12.0
1084,2620,2012.0,12.0
1086,2620,2013.0,12.0
1088,2620,2014.0,12.0
1090,2620,2015.0,12.0
1091,2663,2006.0,7.0
1092,2663,2007.0,7.0
1093,2663,2008.0,7.0
1094,2663,2009.0,7.0
1095,2663,2010.0,7.0
1096,2663,2011.0,7.0
1097,2663,2012.0,7.0
1098,2663,2013.0,7.0
1099,2663,2014.0,7.0
1100,2663,2015.0,7.0
1101,2710,2006.0,2.0
1102,2710,2007.0,2.0
1103,2710,2008.0,2.0
1104,2710,2009.0,2.0
1105,2710,2010.0,2.0
1106,2710,2011.0,2.0
1107,2710,2012.0,2.0
1108,2710,2013.0,2.0
1109,2710,2014.0,2.0
1110,2710,2015.0,2.0
1111,2751,2006.0,6.0
1112,2751,2007.0,6.0
1113,2751,2008.0,6.0
1114,2751,2009.0,6.0
1115,2751,2010.0,6.0
1116,2751,2011.0,6.0
1117,2751,2012.0,6.0
1118,2751,2013.0,6.0
1119,2751,2014.0,6.0
1120,2751,2015.0,6.0
1121,2771,2006.0,12.0
1122,2771,2007.0,12.0
1123,2771,2008.0,12.0
1124,2771,2009.0,12.0
1125,2771,2010.0,12.0
1126,2771,2011.0,12.0
1127,2771,2012.0,12.0
1128,2771,2013.0,12.0
1129,2771,2014.0,12.0
1130,2771,2015.0,12.0
1131,2783,2006.0,12.0
