,Model,Independent variable1,Independent variable2,Independent variable3,Independent variable4,Independent variable5,Adjusted R2,Coefficient1,Coefficient2,Coefficient3,Coefficient4,Coefficient5
1021,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,avg_tornado_scale,winter_storm_count,0.061851613979323594,0.045538532497750674,0.000203372535480007,0.010163152016443688,0.01654867171767848,0.0002863888808928116
1022,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,PerCapitaIncome,GDP_per_capita,0.06096872460900926,0.0422342625302935,0.0001992252344645916,0.012031438312896586,7.008941777572292e-06,-8.636456433571354
1023,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,PerCapitaIncome,heat_death,0.06228785110084689,0.04406551061961044,0.0003880585245871355,0.011338802012815353,-3.004730282432997e-06,-0.0024306679989067877
1024,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,PerCapitaIncome,winter_storm_count,0.061900944275887215,0.04763699062720322,0.00019201950529695267,0.007337998026765677,-2.0682848511490625e-06,0.0003060086194827246
1025,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,GDP_per_capita,heat_death,0.06266760735651822,0.04361375873866723,0.00038239107255897374,0.00919323025964549,-3.6460803121109038,-0.0025181224649648702
1026,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,GDP_per_capita,winter_storm_count,0.06211946563239246,0.04727447370869249,0.00018373764122303087,0.0059135204820974455,-2.5836306130838507,0.00030328300935522764
1027,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,heat_death,winter_storm_count,0.06264740499266719,0.046940547066916326,0.0003288399831866286,0.008453745098346573,-0.0017800233310816863,0.0002440058800631473
1028,Fixed effect,tropical_storm_death,wildfire_count,tornado_injury,flood_count,flood_death,0.061729836536544624,0.03785862338585374,0.00029237266462615657,5.7747251984860334e-05,0.00010002455011742365,0.008057538083220532
1029,Fixed effect,tropical_storm_death,wildfire_count,tornado_injury,flood_count,avg_tornado_scale,0.061176893263415244,0.0391382241634783,0.0002658689225560007,5.1254980862031876e-05,0.0002180896467823137,0.01455692405827532
1030,Fixed effect,tropical_storm_death,wildfire_count,tornado_injury,flood_count,PerCapitaIncome,0.06131911645846699,0.039601789383100904,0.0002649725254281994,6.162242094211159e-05,0.00023805001818466418,-2.2001012332469788e-06
1031,Fixed effect,tropical_storm_death,wildfire_count,tornado_injury,flood_count,GDP_per_capita,0.061541800873182284,0.0391532964364222,0.0002562011025632023,6.116257359679258e-05,0.00023000047906059155,-2.6741642750526005
