,Model,Independent variable1,Independent variable2,Independent variable3,Adjusted R2,Coefficient1,Coefficient2,Coefficient3
162,Fixed effect,tropical_storm_count,wildfire_count,winter_storm_count,0.061348469490844604,0.0010552164546964653,0.0002011788893202798,0.00029262268661530186
163,Fixed effect,tropical_storm_count,tropical_storm_dummy,tornado_injury,0.059594420391311576,0.0010091251949575124,-0.004670413979730093,6.055396428424312e-05
164,Fixed effect,tropical_storm_count,tropical_storm_dummy,flood_count,0.05981340551249914,0.0010058420555249781,-0.010863857443460873,0.00021273030317091888
165,Fixed effect,tropical_storm_count,tropical_storm_dummy,flood_death,0.06042726831209755,0.0010454070144460495,-0.013017415802607759,0.008931000339189105
166,Fixed effect,tropical_storm_count,tropical_storm_dummy,avg_tornado_scale,0.05966549075217542,0.0009806423775903254,-5.017645072971273e-05,0.02029427733916346
167,Fixed effect,tropical_storm_count,tropical_storm_dummy,PerCapitaIncome,0.059523729869995434,0.0010228140814190995,-0.0025376323921835007,-1.7746479102546366e-06
168,Fixed effect,tropical_storm_count,tropical_storm_dummy,GDP_per_capita,0.059814901676818355,0.0010127568349470447,-0.0039228378771593644,-2.5766249245832102
169,Fixed effect,tropical_storm_count,tropical_storm_dummy,heat_death,0.059949476466515494,0.0010234187660203777,-0.004498403072147074,-0.0012603513658426884
170,Fixed effect,tropical_storm_count,tropical_storm_dummy,winter_storm_count,0.060895689067976266,0.0011690873916907793,-0.010954043719121351,0.00031260216734535436
171,Fixed effect,tropical_storm_count,tornado_injury,flood_count,0.05994336934674371,0.0008492325914935643,4.9084129473353154e-05,0.00017528551400448992
172,Fixed effect,tropical_storm_count,tornado_injury,flood_death,0.06055280584954825,0.00084724214566799,5.133392887473659e-05,0.008124351745204683
173,Fixed effect,tropical_storm_count,tornado_injury,avg_tornado_scale,0.05986146139769444,0.0009326010327154807,5.0870180227069135e-05,0.018250403187858453
174,Fixed effect,tropical_storm_count,tornado_injury,PerCapitaIncome,0.05983322713896966,0.0009261412371994691,6.391560377473592e-05,-1.9526075388913084e-06
